t_s,stage,x0,x1,x2,x3,x4,x5,x6,u0,u1,u2
0.000,0,-8.585957e+05,4.733940e+06,4.176394e+06,-3.452044e+02,-6.260980e+01,0.000000e+00,3.002900e+04,0.000000e+00,0.000000e+00,0.000000e+00
13.319,0,-8.633112e+05,4.733684e+06,4.176906e+06,-3.651268e+02,2.669105e+01,7.936307e+01,2.696768e+04,0.000000e+00,0.000000e+00,0.000000e+00
26.638,0,-8.684994e+05,4.734690e+06,4.178570e+06,-4.225903e+02,1.250606e+02,1.723039e+02,2.390636e+04,0.000000e+00,0.000000e+00,0.000000e+00
39.957,0,-8.748165e+05,4.737018e+06,4.181537e+06,-5.362470e+02,2.245303e+02,2.749224e+02,2.084505e+04,0.000000e+00,0.000000e+00,0.000000e+00
53.276,0,-8.830370e+05,4.740707e+06,4.185963e+06,-7.067470e+02,3.331143e+02,3.941668e+02,1.778373e+04,0.000000e+00,0.000000e+00,0.000000e+00
66.595,0,-8.939116e+05,4.746002e+06,4.192173e+06,-9.082681e+02,4.409622e+02,5.175938e+02,1.508900e+04,0.000000e+00,0.000000e+00,0.000000e+00
79.914,0,-9.058556e+05,4.751207e+06,4.198472e+06,-8.862443e+02,3.415726e+02,4.293045e+02,1.508900e+04,0.000000e+00,0.000000e+00,0.000000e+00
93.233,0,-9.182004e+05,4.755537e+06,4.204087e+06,-1.032996e+03,3.479451e+02,4.575342e+02,1.239094e+04,0.000000e+00,0.000000e+00,0.000000e+00
106.552,0,-9.338910e+05,4.760640e+06,4.210881e+06,-1.334750e+03,4.183030e+02,5.644729e+02,1.071158e+04,0.000000e+00,0.000000e+00,0.000000e+00
119.871,0,-9.541124e+05,4.766672e+06,4.219172e+06,-1.717464e+03,4.871177e+02,6.826614e+02,9.032231e+03,0.000000e+00,0.000000e+00,0.000000e+00
133.190,0,-9.801025e+05,4.773632e+06,4.229151e+06,-2.204705e+03,5.604257e+02,8.209144e+02,7.352879e+03,0.000000e+00,0.000000e+00,0.000000e+00
146.509,0,-1.013495e+06,4.781680e+06,4.241209e+06,-2.840105e+03,6.516166e+02,9.974415e+02,5.673526e+03,0.000000e+00,0.000000e+00,0.000000e+00
159.828,0,-1.051547e+06,4.789830e+06,4.254077e+06,-2.847854e+03,5.655666e+02,9.251522e+02,5.611600e+03,0.000000e+00,0.000000e+00,0.000000e+00
173.147,0,-1.089340e+06,4.796745e+06,4.265850e+06,-2.827176e+03,4.729700e+02,8.428585e+02,4.743000e+03,0.000000e+00,0.000000e+00,0.000000e+00
186.466,0,-1.126854e+06,4.802431e+06,4.276531e+06,-2.805950e+03,3.810305e+02,7.610408e+02,4.743000e+03,0.000000e+00,0.000000e+00,0.000000e+00
199.785,0,-1.164801e+06,4.806968e+06,4.286296e+06,-2.998093e+03,3.098555e+02,7.300824e+02,4.389610e+03,0.000000e+00,0.000000e+00,0.000000e+00
213.104,0,-1.207671e+06,4.810724e+06,4.296160e+06,-3.453603e+03,2.537756e+02,7.529032e+02,3.695885e+03,0.000000e+00,0.000000e+00,0.000000e+00
226.423,0,-1.257248e+06,4.813712e+06,4.306408e+06,-4.010825e+03,1.941223e+02,7.884625e+02,3.002159e+03,0.000000e+00,0.000000e+00,0.000000e+00
239.742,0,-1.315195e+06,4.815867e+06,4.317245e+06,-4.723370e+03,1.280915e+02,8.426885e+02,2.308434e+03,0.000000e+00,0.000000e+00,0.000000e+00
